web_scraper_order,web_scraper_start_url,title,price,data,data2,data3,rating,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,image,image2
"1777074218-39","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe Allview Sensy 800, 8 KG, Motor Inverter, Super SLIM, Gri","1.398,76 Lei",",76","","PRP: 2.055,79 Lei","5","(1)","","","Lei","în stoc","Adauga in Cos","1 review","","","","","Lei","","Rate 0% dobanda cu MyWallet","","","","",",79","Compara","",",","",",","https://s13emagst.akamaized.net/products/114590/114589519/images/res_f9dd354f2eea0bfc07ff9ef295a6d687.png?width=720&height=720&hash=C6C232AEB09455A9E8504E7AE5C1BA33","https://s13emagst.akamaized.net/layout/ro/static-upload/user-wallet-info-budget.png"
"1777074218-40","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe Vision Clean VMS71215D, 1200 RPM, 7 Kg, 15 programe, Functie Start Intarziat, Allergy Safe, Clasa D","1.099,99 Lei",",99","","","5","(7)","","","Lei","în stoc","Adauga in Cos","7 review-uri","","","","","","","Rate 0% dobanda cu MyWallet","","","","","","Compara","",",","","","https://s13emagst.akamaized.net/products/73488/73487713/images/res_32aa1627cc1036564c4ba73417fde8c4.jpg?width=720&height=720&hash=72C4A303766120F9F03E72A2B9851878","https://s13emagst.akamaized.net/layout/ro/static-upload/user-wallet-info-budget.png"
"1777074218-41","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe Beko B7WFU69418WBES, 9 kg, 1400 RPM, Clasa A, AquaTech, IronFast, SteamCure, Recycled Tub, ProSmart Inverter Motor, Homewhiz prin Wi-Fi, AddXtra, Negru","2.098,99 Lei",",99","","","5","(4)","","","Lei","","Adauga in Cos","4 review-uri","Super Pret","","","5 ANI GARANȚIE","","Livrare cu 2 oameni","Rate 0% dobanda cu MyWallet","","","Super Pret","","","Compara","",",","","","https://s13emagst.akamaized.net/products/86095/86094123/images/res_705db772b49a40baefbeb9058e533546.jpg?width=720&height=720&hash=C88A07A00BCDA55E8E21F91843337962","https://s13emagst.akamaized.net/layout/ro/static-upload/user-wallet-info-budget.png"
"1777074218-42","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe Samsung WW70FG3M05AWLF, 7kg, 1400 RPM, Clasa A, Hygiene Steam, Drum Clean, Quick Wash, Motor Digital Inverter, Alb","1.747,23 Lei",",23","","","3.5","(4)","","","Lei","","Adauga in Cos","4 review-uri","Super Pret","","","RABLA eMAG - 150 de lei card cadou","","","Rate 0% dobanda cu MyWallet","","","Super Pret","","","Compara","",",","","","https://s13emagst.akamaized.net/products/101050/101049050/images/res_bd9b92557fdacb2c8b6b0752b6bf1ce1.jpg?width=720&height=720&hash=F8B7D186B4F95276A8973EADEF79CFBE","https://s13emagst.akamaized.net/layout/ro/static-upload/user-wallet-info-budget.png"
"1777074218-43","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe slim Heinner HWM-M9014SMA+++, 9 kg, 1400 rpm, Clasa A, Motor inverter, Display digital, Blocare acces copii, Program Hygine 90°C, Alb","1.341,68 Lei",",68","","","4.6","(5)","","","Lei","în stoc","Adauga in Cos","5 review-uri","","","","Voucher -10% Extra","","","Rate 0% dobanda cu MyWallet","","","","","","Compara","",",","","","https://s13emagst.akamaized.net/products/100988/100987515/images/res_fe28155cd6248e001c2fb6ef8366e29c.jpg?width=720&height=720&hash=517E6013A0C4B4E5A370A244B133676C","https://s13emagst.akamaized.net/layout/ro/static-upload/user-wallet-info-budget.png"
"1777074218-44","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe Samsung WW80CGC04DAELE, 8 kg, 1400 RPM, Clasa A, Motor Digital Inverter, Eco Bubble, WiFi SmartThings, AI Energy, Alb","2.539,96 Lei",",96","","","4.64","(97)","","","Lei","","Adauga in Cos","97 de review-uri","Top Favorite","","","Voucher -10% Extra","","","Rate 0% dobanda cu MyWallet","","","Top Favorite","Electro Weekend","","Compara","",",","","","https://s13emagst.akamaized.net/products/62007/62006314/images/res_225cad1bca9eb29ca2288f7f24ed7836.jpg?width=720&height=720&hash=A07F924F122BE1FC1A5C4BA69A956E87","https://s13emagst.akamaized.net/layout/ro/static-upload/user-wallet-info-budget.png"
"1777074218-45","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe Heinner HWM-H6010IVSMC+++, 6 kg, 1000 rpm, Clasa C, Motor Inverter, Display digital, Alb","1.309,99 Lei",",99","","","4.69","(169)","","","Lei","în stoc","Adauga in Cos","169 de review-uri","Top Favorite","","","","","","Rate 0% dobanda cu MyWallet","","","Top Favorite","","","Compara","",",","","","https://s13emagst.akamaized.net/products/58820/58819746/images/res_6a2a75777af940c6e949371c11046f98.jpg?width=720&height=720&hash=4E3DAE948ABE7F729F2D81DE3B87F2C4","https://s13emagst.akamaized.net/layout/ro/static-upload/user-wallet-info-budget.png"
"1777074218-46","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe cu uscator LG WT1210EGF, Spalare 12 kg, Uscare 10 kg, 1400 RPM, Steam, TurboWash 360, Clasa A/C, Verde/Bej","9.001,18 Lei",",18","","","4.88","(17)","","","Lei","în stoc","Adauga in Cos","17 review-uri","Top Favorite","","","","","","Rate 0% dobanda cu MyWallet","","","Top Favorite","","","Compara","",",","","","https://s13emagst.akamaized.net/products/78559/78558270/images/res_6ed754f930c888203786e6b46f4c31e5.jpg?width=720&height=720&hash=AAC964FAC8F78BA01B8BE6561F7910F0","https://s13emagst.akamaized.net/layout/ro/static-upload/user-wallet-info-budget.png"
"1777074218-47","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe LG F4WR711S3HA, 11 kg, 1400 rpm, Clasa A, Motor AI Direct Drive, Auto Dose, WiFi, Smart Diagnosis, TurboWash, Alb","3.299,99 Lei",",99","","PRP: 3.449,99 Lei","4.86","(35)","","","Lei","în stoc","Adauga in Cos","35 de review-uri","Super Pret","","","","Lei","","Rate 0% dobanda cu MyWallet","","","Super Pret","",",99","Compara","",",","",",","https://s13emagst.akamaized.net/products/58635/58634937/images/res_44a0e1a89cc236083915954de17b7297.jpg?width=720&height=720&hash=17107FD15D8A00D7050BD9D9F8CE8470","https://s13emagst.akamaized.net/layout/ro/static-upload/user-wallet-info-budget.png"
"1777074218-48","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe Albalux AXGIW1491, 9 kg, Clasa energetica A, 16 Programe, 1400 rotatii, Blocare acces copii, Adaugare rufe in timpul spalarii, Alb","1.307,84 Lei",",84","","PRP: 1.936,00 Lei","5","(1)","","","Lei","în stoc","Adauga in Cos","1 review","Super Pret","","","","Lei","","Rate 0% dobanda cu MyWallet","","","Super Pret","",",00","Compara","",",","",",","https://s13emagst.akamaized.net/products/82957/82956207/images/res_a83d50ed2e9fbe0c093e1921feb0471e.jpg?width=720&height=720&hash=7A1854C51EE0BAE615D0D3073BB4B65A","https://s13emagst.akamaized.net/layout/ro/static-upload/user-wallet-info-budget.png"
"1777074218-49","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe Beko BM3WFSU49415WB, 9 kg, 1400 rpm, Clasa A, Motor ProSmart Inverter, ColdWash, SteamCure, Alb","1.799,00 Lei",",00","1.909,86 Lei","","4.41","(69)","",",86","Lei","","Adauga in Cos","69 de review-uri","-5%","Lei","","Voucher -10% Extra","","","Rate 0% dobanda cu MyWallet","","","Top Favorite","Electro Weekend","","Compara","Top Favorite",",",",","","https://s13emagst.akamaized.net/products/68577/68576894/images/res_ded5582fdae3973393dfef391725980b.jpg?width=720&height=720&hash=D0BC320FC205DC68DF2F7A0DA4687B9D","https://s13emagst.akamaized.net/layout/ro/static-upload/user-wallet-info-budget.png"
"1777074218-50","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe Arctic APLM2WFSU27211W, 7 Kg, 1200 RPM, Clasa A, Motor Silent Inverter, ExtraSteam, Recycled Tub, Steam, Child Lock, Add-In, Alb","1.598,99 Lei",",99","","","4.53","(76)","","","Lei","","Adauga in Cos","76 de review-uri","Super Pret","","","5 ANI GARANȚIE","","Livrare cu 2 oameni","Rate 0% dobanda cu MyWallet","","","Super Pret","","","Compara","",",","","","https://s13emagst.akamaized.net/products/74587/74586953/images/res_7cd287db9c887bcd98efe20591de826b.jpg?width=720&height=720&hash=E1C6C5D7F7FCC2D4F6964F81F3148ADC","https://s13emagst.akamaized.net/layout/ro/static-upload/user-wallet-info-budget.png"
"1777074218-51","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe Arctic APLM2WFSU28211W, 8 Kg, 1200 RPM, Clasa A, Motor Silent Inverter, ExtraSteam, IronExpress, Recycled Tub, Fast/Intensive, Steam, WaterMode, Child Lock, Add-In, Alb","1.649,00 Lei",",00","","","4.75","(44)","","","Lei","","Adauga in Cos","44 de review-uri","Super Pret","","","5 ANI GARANȚIE","","Livrare cu 2 oameni","Rate 0% dobanda cu MyWallet","","","Super Pret","","","Compara","",",","","","https://s13emagst.akamaized.net/products/72026/72025038/images/res_e32e62b50e4c10129a06e42d33e265fd.jpg?width=720&height=720&hash=C09DCB256E1B74E505B3575DFCD88615","https://s13emagst.akamaized.net/layout/ro/static-upload/user-wallet-info-budget.png"
"1777074218-52","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe cu incarcare verticala Heinner HWM-TL8013IVA++, 8kg, 1300rpm, clasa A, motor inverter, 15 programe, display digital, program rapid 15min, program scurt 45min, program baby care, prespalare","1.800,87 Lei",",87","","","4.8","(5)","","","Lei","","Adauga in Cos","5 review-uri","","","","RABLA eMAG - 150 de lei card cadou","","Livrare cu 2 oameni","Rate 0% dobanda cu MyWallet","","","","","","Compara","",",","","","https://s13emagst.akamaized.net/products/99076/99075662/images/res_4cdbac78c6540a1c9a96d09dccb423f2.jpg?width=720&height=720&hash=29DD685340545CF7BE851AF1560E45F3","https://s13emagst.akamaized.net/layout/ro/static-upload/user-wallet-info-budget.png"
"1777074218-53","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe slim cu uscator Samsung WD90DG6G94BBU4, Spalare 9 kg, Uscare 5 kg, 1400 rpm, Clasa A, AI Control, AI Wash, Auto Dispense, AI Ecobubble, Super Speed 39, Space Max, Smart Things WiFi, Digital Inverter Motor, Negru","3.027,99 Lei",",99","","PRP: 4.369,99 Lei","4.44","(16)","","","Lei","","Adauga in Cos","16 review-uri","","","","RABLA eMAG - 150 de lei card cadou","Lei","Livrare cu 2 oameni","Rate 0% dobanda cu MyWallet","","","","",",99","Compara","",",","",",","https://s13emagst.akamaized.net/products/89616/89615517/images/res_17ee4a10fcd8d89dfd03735334b093ae.jpg?width=720&height=720&hash=1BFD33DE96CAFD8BF9663697ADC294F6","https://s13emagst.akamaized.net/layout/ro/static-upload/user-wallet-info-budget.png"
"1777074218-54","https://www.emag.ro/search/masina%20de%20spalat?ref=trending","Masina de spalat rufe slim Heinner HWM-M714IVSMNA+++, 7 kg, 1400 rpm, Clasa A, Motor inverter, Display digital, Blocare acces copii, Alb","1.662,70 Lei",",70","","","4.73","(163)","","","Lei","","Adauga in Cos","163 de review-uri","Top Favorite","","","Voucher -10% Extra","","","Rate 0% dobanda cu MyWallet","","","Top Favorite","Electro Weekend","","Compara","",",","","","https://s13emagst.akamaized.net/products/57512/57511964/images/res_893c07b8cbf4cc5b9dd76e180b935c95.jpg?width=720&height=720&hash=0C8D86E497A0F62BB4F04E9F1FC74868","https://s13emagst.akamaized.net/layout/ro/static-upload/user-wallet-info-budget.png"
